Total cases (4/14/2020),Deaths (4/14/2020),Population (for demographic %'s),% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural,Population Density per Square mile of Land (2010),Housing Density Per Square Mile of Land,Avg Daily March 2011 Sunlight (KJ/m?) Missing HI and AK,GDP 2018,"Percentage Living in Poverty, All Ages, 2016",% Unemployed,% Children in Poverty,Income Inequality Ratio (80th%/20th%),Social Association Rate,Air pollution: Average Daily PM2.5,Presence of Drinking Water Violation,% Severe Housing Problems,% Fair or Poor Health,Average Number of Physically Unhealthy Days,% Smokers (adults),% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,Chronic Respiratory Disease: mortality rate per 100K (2014),Avg Temp 10 Before First-Current,Stay At Home Order After First Case
448,24,534216,25.4595519,13.6665693,5.30946284,1.03366429,4.37575812,0.0809,32.2468814,56.7581278,50.1980472,3.55833555,990.8,350.1,14245.94,21846847,10.5,4.91126356,11.9,4.22337602,7.20074364,12.8,Yes,17.7555837,16.0406887,3.54541213,13.1426205,28.8,14.8,96.4389474,43.66,6.413043478,1
220,10,110024,22.7432197,16.8599578,14.615902,0.43354177,1.0697666,0.0473,10.6267723,71.8570494,50.7798299,24.4568044,167.7,66.9,14743.44,4370611,14.2,5.42203147,20.2,4.64950495,10.9484056,12.3,No,15.7732213,16.4457335,3.84034887,16.0234351,41.2,36.5,79.9522252,59.09,6.951351351,1
114,2,127915,28.4657781,10.2583747,7.2055662,0.54020248,3.23652425,0.0672,19.4644881,68.4071454,50.4280186,10.4195719,358.2,125.9,14615.64,2910561,4.6,3.51753595,5.4,3.07677648,5.30827616,12.4,Yes,12.7052833,13.4350421,3.08134954,13.8753414,31.4,22,93.8563311,48.91,7.039473684,1
2,0,50112,19.6300287,21.5916347,7.85640166,0.42105683,1.05763091,0.0359,5.85488506,82.7067369,49.56697,24.3201875,73.9,33.6,15070.22,1750985,17.1,5.32810881,22.7,4.74810327,13.6261306,11.1,Yes,11.539371,17.9619988,4.1612264,17.7575838,29.2,30.1,76.6246528,84.89,8.644444444,0
1621,58,700832,24.0979293,14.2416442,6.83730195,0.86468654,8.28543788,0.0986,22.1729316,60.9927914,50.0204043,1.26730371,1585.6,586.7,14483.87,60106642,8.7,4.51875127,10.3,4.85896403,7.71833068,12.6,Yes,16.3354229,14.0446992,3.189784,13.7590333,25.4,19.8,98.8178466,43.74,6.633333333,1
23,1,109430,21.5324865,18.9317372,2.61262908,0.39203144,0.93941332,0.0329,10.0274148,85.0498035,49.5330348,30.2148801,100.4,44,15206.11,5398514,18.6,5.80117375,20.2,4.39313482,12.9920866,12,No,13.2972729,15.1072229,3.83771958,16.0650175,28.1,29.9,81.5376918,60.1,6.332432432,1
2,0,15765,18.6869648,17.4310181,9.71772915,0.42499207,0.48842372,0.0381,3.88836029,84.7573739,43.9517919,58.0169904,45.2,18.6,13334.32,510953,13.3,5.88530346,20.9,4.12479394,16.6996536,11.8,No,10.2610261,16.6897261,3.88346944,17.8135061,22.6,26,41.0087329,75.14,13.00555556,0
14,0,34223,19.6943576,19.6008532,5.36189113,0.36525144,0.84446133,0.0497,6.35829705,86.0912252,46.8982848,53.2125115,49.7,20.8,15060.88,1508358,14.3,4.41926981,14.3,4.05306669,13.6604081,11.4,Yes,10.4035542,15.2385414,3.59907084,16.0185951,37.1,27.7,65.9681941,59.5,8.271428571,0
17,0,35761,21.4535388,19.2052795,4.02393669,0.2768379,1.0094796,0.014,4.62794665,88.9152988,49.8475993,40.8035944,37.3,15.2,15127.33,1753899,13.7,4.41902468,16.3,4.64109873,16.7040911,11.6,No,12.151463,15.2754497,3.6608316,15.9775537,34.3,26.9,69.987163,60.53,7.852941176,0
4,0,28925,19.3569577,18.2713915,8.00691443,0.36992221,0.76750216,0.0207,3.51598963,86.167675,49.2307692,39.8647088,49,19.6,14210.93,1110851,17.3,4.71521942,17,3.75696511,15.3872457,11.5,Yes,7.98910577,14.046135,3.50693304,14.9360694,36.1,24.3,73.9349942,60.92,8.961290323,0
2,0,104712,22.1082588,20.016808,17.2778669,0.26549011,1.18897548,0.0506,2.34834594,76.1851555,52.0990908,15.2616279,190.8,86.9,14687.01,1150422,13.3,5.5943636,27,4.7987455,15.3117645,11.8,No,13.0962996,16.3376236,3.88418169,16.439218,31.5,29.6,85.0290698,58.29,9.453571429,0
257,8,45313,21.2830755,19.875091,0.96440315,0.37075453,0.38620264,0.0331,1.27557213,95.9525964,50.5462009,58.513556,55.4,25,14190.62,10241435,13.3,4.90765629,19.3,4.42831349,16.0630199,11.5,No,10.5571848,14.360908,3.64073178,15.814531,28,23.4,61.2980216,60.9,10.16956522,0
81,2,264461,21.839137,17.1991333,8.66706244,0.33464292,1.03191019,0.0635,3.38121689,84.7622145,51.3092668,13.3406615,376.3,163.7,14793.24,11802499,15.8,4.51792681,17.3,4.50246804,13.6383501,12.6,No,12.0964351,15.3278554,3.56339361,16.4769642,36.9,23.9,81.3377797,68.88,11.08421053,1
45,1,37620,23.2270069,19.6916534,4.17597023,0.35619351,0.6804891,0.0266,2.11057948,90.8904838,51.108453,45.0566727,68.9,32,13949.17,6523486,9.8,4.9443132,30.2,4.4447371,22.4262572,11.6,Yes,12.9419192,16.7155506,3.97535653,17.383113,29.6,32.3,64.7285544,82.9,12.28846154,0
16,0,11534,19.9497139,23.4610716,0.7282816,0.39882088,0.48552107,0.0173,2.97381654,94.563898,50.3641408,100,32.7,15.3,13535.53,1163098,15.1,5.19056261,13.6,4.37521558,17.9028133,11.5,No,9.48536832,13.4948864,3.48565339,14.4774726,26.5,26.5,58.3939873,56.02,8.05483871,0
128,2,13565,20.7814228,22.1968301,0.68558791,0.3980833,0.44231478,0.00737,1.09841504,96.3730188,50.6892739,77.4853402,27.2,13.1,13320.35,11293639,20.6,5.99873378,23.4,4.07311779,14.5825738,11.2,No,11.5858669,14.9060699,3.7456682,16.2403599,29.8,27.4,54.6706669,78.89,10.85238095,0
14,0,14080,22.0738636,21.0014205,5.703125,0.51846591,0.625,0.0142,2.96875,88.0113636,52.109375,50.5087822,65,30,13293.4,1372400,20.2,7.01113431,26.1,4.72960547,17.4288901,11.2,No,13.8655462,16.496836,3.9261385,16.2499284,33.4,30.9,77.166375,105.11,14.05652174,0
2,0,29955,17.0789518,17.639793,5.33800701,0.38724754,2.38023702,0.0167,2.79419129,87.7416124,51.0131865,29.5044769,55.3,24.5,15326.03,403674,7.3,5.12014372,22.9,6.21630295,13.9506213,10.8,No,15.1182432,17.1754568,4.06708389,16.7492917,34.8,27.1,72.4549246,61.51,9.3,0
3,0,308570,23.4617753,14.5911787,1.52283112,0.50490975,2.97436562,0.0512,13.4484882,80.6206047,50.2174547,9.87854644,511.9,192.4,14375.69,577815,12.6,3.49655409,7.8,3.74395632,6.98753243,12.1,No,13.6999364,13.4100503,3.28576271,13.6118001,33,21.3,91.6715248,57.84,6.633333333,1
3,0,172828,21.487259,13.2270234,7.91538408,0.29451246,5.4152105,0.0527,5.06283704,79.2874997,51.4152799,16.4968273,143.3,58.9,13935.34,690326,9.7,4.18709964,10.5,5.17556525,11.7824598,11.7,Yes,13.7669623,14.7193053,3.49996043,14.9737737,33.5,23.2,83.8652608,58.63,7.75,1
2,0,12288,21.9807943,19.3522135,0.86263021,0.33365885,0.38248698,0.0244,1.5625,95.5403646,51.2613932,75.6946084,40.4,18,13932.76,289134,10.2,4.00657796,14.5,3.84738456,8.98325847,11.1,No,11.7816092,13.0710174,3.42329293,14.6164252,30.1,22.3,42.1094058,59.34,9.52962963,0
3,0,15601,21.3960644,21.6652779,0.74995193,0.24998398,0.47432857,0.0385,2.5062496,95.0387796,50.0544837,77.7595229,29.3,13.1,15105.2,403854,4.8,5.28199432,12.6,3.63345433,17.9280318,10.8,Yes,8.75856816,13.7243736,3.43776856,15.1545654,32.6,24.2,54.4420105,68.76,8.713043478,0
47,3,34335,22.0998981,17.7661279,0.36697248,0.23591088,0.66113296,0.0262,1.54070191,96.3215378,50.3189166,41.3599539,85.6,34.8,13215.26,923297,16,3.46329659,4.3,4.26245105,14.0774848,11.3,No,9.63161934,11.5151697,3.09087082,12.9673207,36.3,20.7,78.0137755,52.27,11.06969697,0
9,1,28601,20.065732,20.1531415,3.50337401,0.22027202,0.5034789,0.0385,1.751687,93.1680711,47.6137198,41.6223758,42.8,18.6,13534.65,1324737,15.7,5.93726348,20.1,4.5,14.9357416,11.4,No,9.74745237,15.4392065,3.89097232,16.1100204,31,27.3,44.8511826,53.98,9.52962963,0
11,1,33976,18.860372,20.0111844,6.87249823,0.42677184,0.76524606,0.0559,2.48116317,87.9238286,49.2376972,36.2280924,62.5,27.3,13878.19,1445898,10,4.40860874,23.1,4.57080706,14.4978993,10.9,Yes,11.4534252,15.9111825,3.79936526,16.1365253,32.1,25.9,62.6888345,68.28,9.348275862,0
3,0,14717,25.4059931,18.9033091,0.54358905,0.2582048,0.3125637,0.034,1.52884419,96.4394917,51.0498064,69.2375051,44.2,18.6,13837.74,692823,10.2,3.841042,13.4,3.85048894,13.6165577,11.5,Yes,10.5081826,14.6021968,3.67586558,15.6962604,24.8,24.2,68.974808,63.92,10.16956522,0
26,0,50923,22.4260158,18.7479135,1.0898808,0.3711486,0.69320346,0.0785,10.2841545,86.5777743,50.3328555,47.0998374,70.5,29.7,14432.62,2721329,15.2,5.04171774,11.2,4.0356754,14.4919022,11.5,Yes,12.5842156,15.0017731,3.5994723,15.0280755,37.1,28.2,61.9642223,55.82,7.354166667,0
31,1,180621,23.5958167,17.0611391,18.3179143,0.39751745,4.13074892,0.0687,4.91526456,69.6917856,51.5466086,14.6455114,301.2,134.1,14931.08,12040364,15.6,5.54474931,22.8,4.965962,13.8789472,11.9,No,13.8584975,15.6230823,3.729387,16.5955653,35.9,22,82.0980836,58.58,7.771794872,1
1,0,21174,19.386984,18.6313403,8.7796354,0.42032682,0.53839615,0.0614,3.22093133,85.6002645,44.9371871,43.6420582,50.6,21.3,13693.64,712065,6.8,5.97209082,23.4,5.01201669,25.3699789,11.4,Yes,12.9171817,15.2808891,3.75406332,16.1458672,32.1,26.4,79.3825503,71.71,12.12142857,0
6,0,16396,22.5481825,19.3583801,0.67089534,0.20736765,0.4269334,0.0427,1.36618688,96.230788,50.4452305,67.6609481,38.1,16.6,14101.61,477520,16.4,4.30604982,8.2,3.3124072,14.5941016,11.6,No,7.65765766,11.9763443,3.2439752,13.4295471,25.2,22.2,60.1231395,51.2,10.16956522,0
1,0,15611,22.3304081,20.953174,1.39645122,0.22420088,0.31388124,0.0384,1.22990199,96.0220357,49.8494651,72.3067559,19.8,9.6,13766.9,623777,18.2,4.80981257,19.6,4.17951934,11.3772834,10.6,No,9.82615268,16.5517029,3.93645185,16.7105082,29.8,32.1,57.9245283,70.11,10.29047619,0
0,0,4212,12.1320038,27.9677113,5.31813865,0.75973409,0.40360874,0.0712,1.59069326,90.5508072,48.2905983,100,12.1,6.8,14034.83,96338,21.1,6.11079383,27.1,4.51320576,20.8092486,11.1,No,9.43396226,14.5531627,3.64558312,14.5758756,26.6,22.5,97.7852349,66.96,,0
5,0,5463,21.5815486,22.4052718,30.2947099,0.75050339,0.40270913,0.0549,2.28812008,63.6646531,51.4003295,100,30.9,15.8,13660.51,236180,8,8.22384428,33.4,4.63155123,23.5977491,11.1,No,12.9102845,21.1744064,4.48706389,19.3714241,34.6,22.9,66.4827139,81.56,12.44,0
0,0,5740,20.0522648,22.6132404,0.67944251,0.31358885,0.57491289,0.0174,5.90592335,91.4634146,49.0766551,100,37.5,19.2,15303.94,338034,13.7,5.23026316,12.5,3.46294647,0,11.3,No,9.01639344,12.9022295,3.34553228,13.6312989,26,19.6,49.8501499,46.71,,0
41,0,32106,19.3203763,18.6008846,10.2784526,0.31458294,0.50769327,0.0716,3.12091198,84.7972342,45.0071638,42.6424901,58.2,23.8,13513.26,1470109,14.4,4.43599493,17.8,3.8986735,20.9727663,11,Yes,8.77782444,16.019171,3.73660507,17.1981937,27.2,26.8,68.6880153,64.83,11.35,0
1,0,15763,23.2696822,20.4783353,0.77396435,0.34891835,0.89449978,0.019,1.83340735,94.9882637,50.5233775,43.4670116,45.1,20.9,13432.11,962210,15.6,4.69483568,20.9,4.56293893,18.8667379,11.7,No,9.68992248,16.5716383,4.04754356,16.866836,28.1,21.8,66.2847286,57.07,12.46470588,0
113,3,143477,22.2774382,19.2867149,10.4490615,0.6140357,2.74956962,0.0488,13.1038424,71.1368373,50.7377489,10.9199843,345,153.8,14985.06,10496180,20.4,5.22916754,21.9,4.37315647,12.8445942,11,Yes,13.6605657,17.0094104,3.74703113,16.5978529,33.7,22.3,90.693072,57.41,7.305882353,0
220,8,23906,21.6682005,20.2668786,3.7856605,0.47686773,0.65255584,0.0878,1.89073873,91.3243537,50.6441897,43.6639506,410.6,30.8,13284.07,10679494,13.8,6.50875595,29.7,6.00584112,19.9153597,11.5,No,13.3366633,17.8585174,4.19046149,18.731812,27.1,35.6,65.9495043,86.59,12.43846154,0
3,0,195348,22.1896308,17.858898,12.7797572,0.26926306,2.11008047,0.0379,2.35067674,80.2306653,52.0133301,14.1265541,65.6,103.5,14031.91,849787,12.1,4.29351399,20,4.97703203,19.0377293,11.5,No,13.230862,15.7495311,3.77481636,16.901596,30.6,23.6,83.3980705,59.13,8.473170732,1
50,3,6907,18.1699725,22.7884755,3.57608224,0.18821486,0.41986391,0,1.86767048,93.4269582,47.5314898,57.6352068,227.4,7.9,13839.21,10570791,11.5,4.46910618,14.9,3.41815958,17.0575693,10.6,No,4.22297297,15.7356335,3.84048969,16.4598911,25.9,21.9,35.2995758,54.95,9.933333333,0
1,0,4926,21.5793748,19.8741372,0.52781161,0.22330491,0.22330491,0,1.29922858,96.8940317,50.588713,100,17.3,9.8,14278.16,285717,11.7,5.36074164,15,3.99455121,13.9944022,10.6,Yes,9.33014354,15.1513263,3.80946248,16.0111248,28.2,25.6,48.5714286,64.43,,0
0,0,21741,21.3513638,22.5242629,0.34037073,0.22078101,0.33577112,0.0414,1.05790902,97.1712433,50.2552781,77.7310737,21.3,13.7,13733.26,189956,15.4,4.31701632,13.3,3.8245953,17.0357751,11.6,No,8.6272382,14.994888,3.78695029,15.6082807,32.3,25.5,51.1246255,50.07,10.58823529,0
4,0,261059,23.3943285,15.8052394,30.285108,0.37845851,1.52532569,0.0977,4.17530137,61.4807381,51.7584148,9.75464348,29.5,176.7,13729.36,810282,11.5,5.0498459,22,5.27063959,11.0866012,11.9,Yes,15.0287328,17.5593674,4.02803655,17.634095,37.1,31.4,85.8073881,69.63,10.80952381,1
1,0,5427,21.5035932,22.2959278,0.8291874,0.23954303,0.5527916,0.0737,2.00847614,95.0801548,50.4882993,100,20.8,9.3,15258.06,227465,15.4,6.30073444,17.2,4.41866348,18.40265,11,No,9.24369748,14.7950568,3.73498032,15.8590731,25.5,24,56.8068068,64.11,10.11764706,0
9,0,44753,21.3594619,22.7292025,9.94570196,0.28824883,0.66587715,0.0425,4.18072532,82.195607,51.3864992,40.0934795,84.5,39.1,14364.44,1923456,8.8,4.75255661,20.9,4.44046237,15.0929995,10.7,Yes,12.5159642,16.5276533,3.98570539,16.1631535,34,25,65.6745824,59.34,6.252941176,0
21,3,132328,22.6671604,18.7647361,1.25748141,0.32646152,0.92195151,0.0317,2.31999275,93.9158757,50.8494045,20.4181869,208.6,88.6,14739.15,8206096,,4.87872022,12.2,3.85363375,13.9298713,12.1,No,8.53323567,12.977282,3.38479852,15.3013273,32.5,25.4,84.2053562,56.21,8.448275862,0
0,0,16841,21.0201295,21.3585892,1.23508105,0.71254676,0.4631554,0.0356,5.34410071,91.0516003,49.890149,65.8692722,43.1,19.2,13643.94,448465,20.2,6.46638825,24.5,4.89646279,14.1176471,11.2,No,11.6691285,16.7228203,4.07036863,16.9234309,37.2,28.9,54.307053,71.75,,0
8,0,76806,23.5528474,19.3422389,13.5327969,0.39059449,0.90748119,0.0352,5.20662448,77.9301096,50.2369607,31.2563553,90.9,40.4,13973.54,3285723,13.5,6.17666329,29.5,4.44958175,14.7608107,11.6,No,12.1750159,17.9466351,4.07058835,17.6737396,40.9,31.5,75.1411945,86.67,10.34347826,0
2,0,11549,22.5560655,20.6684561,0.83989956,0.28573903,1.23820244,0.0433,2.85739025,93.4972725,49.5713915,38.8967942,53.5,25,13486.07,376181,13.6,4.45181564,18.8,4.41509615,20.0191488,11.8,No,9.49432405,15.0118102,3.7695359,15.8928839,35.4,22.1,71.5074914,71.82,13.37368421,0
2,0,17032,21.9234382,19.5338187,2.45420385,0.43447628,2.57162987,0.19375294,9.65829028,83.3842179,50.6986848,45.479189,32.6,14.2,15112.8,750948,9.3,4.22275918,17.2,4.00307837,11.6502592,10.9,Yes,10.0587372,15.9900927,3.74997714,15.1265668,26.1,26.6,65.2623256,61.96,9.3,0
2,0,13995,21.3862094,20.1143266,0.8645945,0.19292605,0.46445159,0.0214,1.44337263,96.2129332,50.0678814,73.6477304,26.2,11.6,13460.43,1013500,13.9,3.01298701,10.5,3.66950721,24.9465431,11.3,Yes,9.20826162,13.6188695,3.47487403,14.8982268,28.4,29.5,54.1791248,45.37,11.49189189,1
0,0,16332,22.7038942,21.534411,0.57555719,0.32451629,0.72250796,0.0122,1.5429831,96.0078374,50.7959834,69.9343675,23.5,11.2,13410.36,648342,16.2,5.55475608,21,3.65927134,23.6435283,11.6,No,8.74200426,15.3084727,3.82525944,16.0569158,31.1,26.3,41.676611,76.71,,0
0,0,13665,21.8660812,21.6099524,0.55616539,0.38785218,0.43175997,0.0512,1.48554702,96.2385657,50.7354555,62.0320491,29.6,14.5,13881.64,573158,11.9,4.30815258,19.3,4.11490429,27.981059,11.6,No,9.86257074,15.0794771,3.78780522,15.9895557,29.4,21.3,35.9427208,82.4,,0
30,2,55626,21.93219,20.8535577,1.46334448,0.47100277,0.54470931,0.0252,12.1184338,84.3993816,50.4404415,37.343157,85.5,37.7,15181.01,2090471,7.2,4.57387761,17.1,3.8508127,15.3248512,11.2,No,10.1871544,14.5412921,3.54054842,15.2350053,33.5,26,71.8862183,62.37,7.407692308,1
1350,77,692310,24.8650171,13.0586009,11.6408834,0.46828733,5.95123572,0.0521,17.8394072,62.9696234,50.3761321,3.92939371,809.6,283.8,14557.69,28209374,15.9,4.0425389,8.6,3.93162887,6.8864856,13.3,No,14.7181721,14.6175548,3.27478703,13.0704655,31.8,22.8,96.9891965,45.1,6.79,1
10,0,67056,21.8459198,18.9587807,4.48431162,0.49063469,1.35260081,0.0254,2.75590551,89.3327965,50.3116798,34.7981374,157.9,72.3,13762.58,2796011,15.6,5.13600853,20,4.61241928,18.8628802,11.6,Yes,10.5578435,15.4616389,3.70898234,16.0980258,26.9,28.8,76.4983348,71.4,11.49189189,1
101,4,284081,23.4052964,17.5368997,13.0216382,0.54667507,2.86890007,0.0553,13.1198496,68.5128537,51.1987778,7.91421972,575.2,245.4,14178.18,13080810,6.6,5.73316525,27.2,4.55689352,10.0780257,11.5,Yes,15.4899388,18.4235579,4.23620712,17.0295166,33.3,24.7,90.8428332,57.96,6.241025641,1
10,0,38463,24.0438863,18.0953124,0.6499753,0.27818943,0.77997036,0.026,1.88752827,95.3981749,50.1104958,54.8856818,73.3,28.7,15011.28,1155062,15.2,4.08120662,7.7,3.60885168,14.7187936,11.9,No,9.07522429,12.5084577,3.28514854,13.5631083,27.1,23.2,74.8784399,52.32,7.592857143,1
6,1,35636,31.2998092,15.5011786,0.52475025,0.32270738,0.36760579,0.0477,4.62453699,93.4588618,50.0392861,53.6743537,101.4,38.4,13796.26,1416976,15,2.60660798,21.7,3.8199339,14.9333634,12.5,No,16.0277325,18.936986,4.42397368,20.4544449,34.8,30.4,59.9994184,47.82,6,1
167,13,375351,25.6844927,14.5778218,11.574766,0.4712922,4.37643699,0.10656692,7.60807884,73.4675011,51.1222829,11.8796946,540.6,231.5,14158.35,19716158,11.7,3.15422773,21,4.16423847,11.3710419,12.6,No,11.7857017,17.7057189,4.04067086,19.774598,32.3,22.6,78.1911975,66.92,6.848648649,1
110,4,82753,23.7924909,16.2978986,2.11472696,0.45315578,7.87886844,0.0725,6.9266371,81.4073206,49.6972919,33.7031539,188.7,81.3,13531.28,6363058,11.5,2.6161828,12.6,4.20535748,10.3607996,11.2,Yes,11.7296862,16.1085046,3.91438934,18.5887541,32.3,25.3,64.2511134,74.17,10.15,1
2,0,8653,24.7890905,17.8319658,0.7165145,0.30047382,0.3235872,0.0578,5.18895181,92.3148041,50.3524789,100,21.8,9.7,14263.6,421798,12.8,3.21381723,17.8,3.7640606,8.12724951,11,No,9.43952802,19.1809628,4.3180282,20.870573,33.2,31.2,57.8947368,75.24,7.083333333,0
6,0,11930,21.7686505,21.6261526,0.66219614,0.28499581,0.36881811,0.0335,1.751886,95.4233026,50.6370495,50.610998,77.3,36.7,13741.58,292995,7,3.85695563,22.3,3.55029266,20.0400802,11.7,No,11.0470701,18.6561949,4.17939982,19.7089253,34.2,29.1,57.9429735,75.04,7.969565217,0
125,3,66999,26.4451708,13.3643786,1.93137211,0.2806012,3.0582546,0.0448,3.17318169,90.1267183,50.2514963,34.4050141,133.9,53.8,13690.54,4528949,10.9,2.70443405,5.2,4.26154298,11.6888046,12,No,10.2881537,14.1113079,3.39269341,16.0865719,27.6,20.7,77.0550848,66.16,8.239130435,1
13,1,15234,17.9335697,24.0777209,0.57765525,0.65642642,0.45293423,0.0197,1.69358015,95.4903505,50.7220691,100,48.9,26.6,13583.6,241987,10.3,3.17273796,16.3,4.18779523,9.97672098,10.8,No,14.1897565,16.6042491,3.99039111,18.7204106,31.2,22.8,63.069151,59.14,10.6375,1
6,1,20127,22.1145725,19.6204104,0.63596164,0.37263378,0.17389576,0.0248,4.09400308,94.0328911,49.7341879,81.4041181,54.1,25.4,13971.36,661601,12.5,3.27357755,11.9,4.04099417,12.9746993,11.6,No,7.59330759,18.487846,4.19658546,18.3413534,37.2,30.9,52.3145621,64.84,9.696428571,0
28,1,37955,23.0588855,17.7921223,1.5544724,1.10920827,2.17889606,0.19233303,15.9293901,79.0093532,50.0513766,44.6671457,94.5,40,14120.27,1258237,10.5,3.69479668,17.3,4.00954382,12.8967732,12,No,11.3863089,20.3598968,4.30103824,20.6381732,32.1,27,73.369091,69.12,7.065384615,0
132,8,117360,22.4744376,15.7839128,7.86468984,0.41411043,1.13752556,0.0792,5.54533061,82.8919564,51.1980232,20.514914,295.6,128.1,13887.74,4380616,14.2,3.42583577,15.9,3.79991682,9.91681841,12,No,11.2942542,20.3795899,4.3467165,22.2260782,36.8,27.9,89.1047972,77.61,12.92105263,1
12,0,26170,23.0187237,17.8639664,0.68016813,0.2865877,0.36683225,0.0459,1.42529614,96.0374475,50.5922812,60.8888063,75.2,32.7,13538.85,640668,13.7,3.90853065,22.4,3.78211663,15.6500496,11.2,No,12.3339658,18.7912633,4.1289871,19.9880034,35.7,32.3,71.1640015,71.96,11.43703704,0
12,1,32250,26.2139535,16.6790698,0.64496124,0.52093023,0.42790698,0.0372,16.4465116,81.6527132,50.2790698,49.7832892,82,32.9,13841.43,1100849,17.2,2.81976744,16.3,3.61112187,13.3056905,11.5,No,10.237893,19.5101514,4.19030549,19.7675187,38.4,33.6,63.3758729,71.75,9.593103448,0
12,0,10558,21.5476416,19.5207426,0.50198901,0.54934647,0.2083728,0.0852,1.4396666,95.9462019,49.1286229,100,35.1,18.1,13726.17,188897,14.2,4.47761194,25.3,4.14585854,4.73215976,11.6,No,10.4294479,21.8093186,4.5884526,22.7639458,29.5,37.7,75.0863437,81.19,12.56785714,0
12,1,33147,29.2997858,15.3256705,2.03940025,0.37710803,0.50985006,0.12369144,4.94464054,91.3566839,49.6153498,60.2818504,73.7,29,13171.25,1159916,8.2,2.70401065,17.4,4.50539367,14.7978136,12.1,No,12.9734436,19.4030025,4.32824378,20.0423808,36.6,27.7,54.9387007,65.65,12.665,0
129,4,49568,22.3168173,17.7110232,0.64154293,0.23402195,0.45593932,0.0646,1.3315042,96.2072305,50.2723531,53.0581254,164.1,66.1,13992.47,1510907,11.5,3.63538956,12,4.2837882,11.4593595,11.8,No,9.79077253,15.7195271,3.87116536,20.0873821,33.7,25.6,68.6934282,66.25,10.659375,1
153,10,26794,24.4644323,16.7388221,0.55982683,0.25378816,1.32865567,0.0411,2.09002015,94.9615586,50.3396283,53.7956488,69.1,30.1,13484.1,1431726,9,2.99325182,15.4,3.69161067,12.7164603,11.4,Yes,8.69565217,16.7920718,3.74658477,18.4414051,33.5,31.8,66.1421911,57.01,10.240625,1
60,0,43226,24.2007125,16.2379124,0.42566974,0.30537177,0.52283348,0.074,2.79461435,95.0145746,50.3701476,42.2992208,116.4,48.4,14310.27,2466948,21.6,2.82654104,12.8,3.51781868,14.0069101,12.4,No,8.87792848,17.2573771,3.98881416,19.7943243,30.3,21.8,59.1502262,72.35,6.809677419,1
72,3,114772,18.3616213,17.140069,6.95204405,0.29188304,1.37054334,0.0636,2.56334298,86.7458962,51.7451992,22.8119078,300.1,133.5,13682.26,3872532,6.6,4.0122602,27,4.93757159,14.0644534,11.5,No,16.1913025,20.8448912,4.52555888,20.9644266,34.1,27.9,77.0436216,84.01,6.725,1
13,0,42565,24.14425,17.4556561,0.63667332,0.26312698,0.72594855,0.23023611,7.82567837,90.0998473,50.0223188,49.246819,98,40.7,13477.22,2615764,13.2,2.48319562,9.1,4.03107854,13.8634334,11.9,No,7.66400981,15.6184758,3.65088419,16.9562858,29.5,20.9,78.1613311,45.22,11.64411765,1
100,3,205560,27.5175131,14.7314653,5.67425569,0.64214828,1.18554193,0.0832,16.2979179,74.5753065,50.5755011,20.5872676,426.5,167.9,14149.32,12038611,17.8,2.5905889,16,3.77863483,12.5834016,13.1,No,13.5413725,19.8110611,4.13722972,19.8859988,33.6,28.1,73.2029419,61.75,6.26,1
20,3,23047,21.5819846,20.3931097,1.37978913,0.37748948,0.37315052,0.00434,1.34507745,95.4527704,50.6183017,36.7837871,112.9,50.7,13669.83,583073,10.3,4.63979137,20.9,4.4670681,15.0803568,11.2,No,12.8980892,22.2427417,4.63686574,22.8956525,37.3,26.5,69.6214524,96.91,10.20263158,1
111,5,77781,22.639205,16.1337602,5.35606382,0.36384207,1.19309343,0.0463,3.36328924,87.703938,51.4251552,20.3277106,504.1,216.1,14057.02,2600472,13.2,3.32117582,14.5,4.48094602,11.1585421,12,No,11.3655933,16.6005425,3.90934201,21.6576411,34.7,28.1,82.0255303,73.89,12.545,1
3,1,16351,21.8212953,20.0721668,0.49538255,0.36695003,0.34860253,0.0795,2.62369274,95.0339429,50.0825638,65.9512761,43.6,19.9,13834.52,536769,10.7,3.61579142,16.8,4.08887426,13.3292942,11.1,No,10.6963388,18.4577351,4.04819751,20.5689503,32.3,33.8,52.2157773,81.41,9.45,0
74,7,22736,23.0075651,18.4157284,0.30788177,0.27269529,1.0731879,0.0176,1.17434905,96.3933849,50.0483814,88.8595313,60.1,24.8,13868.17,495074,12.5,3.71215445,11.4,4.22121318,7.5158053,11.4,No,8.61079219,16.2466917,3.901769,19.4215151,37.2,30.6,52.9605406,53.2,10.44871795,1
3,0,20092,23.392395,19.5102528,0.77642843,0.90085606,0.60222974,0.0249,5.29564006,91.6683257,49.9900458,64.9212901,56.6,26.4,13877.68,626150,10.8,3.39425588,22,3.72393031,17.4485269,12,No,9.54773869,17.7285779,3.93901575,19.5186557,38.3,29.6,45.2054137,80.23,6.768965517,0
